"ID","Type","Name","Documentation","Specialization"
"id-993d26d5ce5441af9169cd48989dbfcf","BusinessObject","Stakeholder needs and requirements definition report","
An account prepared for interested parties in order to communicate the status, results, and outcomes of the stakeholder needs and requirements definition activities.
",""
"id-89e88de295a74ce993eeca86f6e229b0","BusinessObject","Stakeholder needs and requirements definition strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform stakeholder needs and requirements definition.
",""
"id-87c22e2f579c4e03af8331269f433b8b","BusinessObject","Standards","
This handbook and relevant industry, country, military, acquirer, and other specifications and standards. Includes new knowledge from industry sponsored knowledge networks.
",""
"id-e9309e6b354f4829861ac5ed671eac6e","BusinessObject","Supplied system or system element","
System or system element (product or service) delivered from a supplier to an acquirer consistent with the delivery conditions of the supply agreement.
",""
"id-4f909fb05d674de980c88c72623be292","BusinessObject","Supply agreement","
Mutual acknowledgment of terms and conditions under which a working relationship is conducted between a supplier and an acquirer. (Adapted from ISO/IEC/IEEE 15288, 2023)
",""
"id-2c100772e611476fb786d2443865546f","BusinessObject","Supply payment","
Payments or other compensations for the supplied system.",""
"id-a6fa87cf0aff4bb7a384c91a4a157a97","BusinessObject","Supply records/artifacts","
Permanent, readable form of data, information, or knowledge related to supply.",""
"id-1ac826487e80427ea97df0dda693e9bc","BusinessObject","Supply report","
An account prepared for interested parties in order to communicate the status, results, and outcomes of the supply activities.
",""
"id-ad2cf066e58747c483d92e774a506b10","BusinessObject","Supply response","
Prepared by a potential supplier to support the offer of a contract bid, including cost, schedule, risk statements, methodology to satisfy the request for supply, experiences and capabilities, any recommendations to tailor the request for supply or contract, and the signature of the supplier’s approving authority. Informally, may be prepared within an organization. (Adapted from ISO/IEC/IEEE 15289, 2019)
",""
"id-fd1a768ac03f451e85cd5f7de1d1d605","BusinessObject","Supply strategy/ approach","
Approaches, schedules, resources, and specific considerations required to perform supply.",""
"id-9a55cabb16654218bc6a90017d3404b4","BusinessObject","System analysis records/artifacts","
Permanent, readable form of data, information, or knowledge related to system analysis.",""
"id-d4c820adfc22408a98967bd85e6c8000","BusinessObject","System analysis report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the system analysis activities.
",""
"id-b925b3fb3f164d6187a5f480c31e30e3","BusinessObject","System analysis request","A request to conduct a system analysis.
",""
"id-6f51a776df414049942644017c59a3f6","BusinessObject","System analysis strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform system analysis.
",""
"id-c9846cb7a6a24287a67336c30ff899ee","BusinessObject","System architecture assessment report","
Provides results of system architecture assessments. It includes evaluation criteria. (Adapted from ISO/IEC/IEEE 15289, 2019)
",""
"id-ad5188e39c1c443ca2de9097ce669ff7","BusinessObject","System architecture definition records/artifacts","
Permanent, readable form of data, information, or knowledge related to system architecture definition.
",""
"id-d396914334724741811895e87f110211","BusinessObject","System architecture definition report","
An account prepared for interested parties in order to communicate the status, results, and outcomes of the system architecture definition activities.
",""
"id-6b78c15ac3c54d348238abd3ef9474a2","BusinessObject","System architecture definition strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform system architecture definition.
",""
"id-d0befb6a8b744a07bfa748ff3e680888","BusinessObject","System architecture description","
The fundamental conception of a system-of-interest in terms of its purpose, system qualities (such as feasibility, performance, safety, and interoperability), constraints, and design decisions and rationale. Identification of the architecture’s stakeholders and the stakeholders’ architecture-related concerns. (Adapted from ISO/IEC/IEEE 15289, 2019)
",""
"id-3c75282c4f774ab8bab3b04d473e7974","BusinessObject","System architecture rationale","
Rationale for architecture selection, technological/technical system element selection, and allocation between system requirements and architectural entities.
",""
"id-cb8a5e4034954e6f80a23dbc1cf506ef","BusinessObject","System design assessment report","Provides results of system design assessments. It includes evaluation criteria. (Adapted from ISO/IEC/IEEE 15289, 2019)
",""
"id-e7b13d7b81b140dbbe2f0c2d4da6de26","BusinessObject","System design characteristics","
Design attributes or distinguishing features that pertain to a measurable description of a product or service. (ISO/IEC/IEEE 15288, 2023)
",""
"id-de5c8be5094f488b95f216bb33e72c25","BusinessObject","System design description","
Describes the design of a system or element. (Adapted from ISO/IEC/IEEE 24765, 2017)
",""
"id-3201652acf25417287545a20e785675d","BusinessObject","System design rationale","
Rationale for design selection, system element selection, and allocation between system requirements and system elements. Includes rationale of major selected implementation options and enablers.
",""
"id-0253359305bd4c77bb6744cf21b4ea54","BusinessObject","System element","
System element (product or service) implemented consistent with its system element requirements.
",""
"id-f61ecd5007c94f20b0e74e1ae0a4a044","BusinessObject","System element description","
Applies the system architecture description to the low-level system configuration items and elements. It is at a level of detail to permit design, implementation, and test. (Adapted from ISO/IEC/IEEE 15289, 2019)
",""
"id-cc956002383842218b71cda5caf6f18d","BusinessObject","System interface definition","
Description of the interfaces between systems and system elements. (Adapted from ISO/IEC/IEEE 24765, 2017)
",""
"id-aa80a3f829964c2896c0b932a2812eb5","BusinessObject","System requirements","
Structured collection of the requirements [functions, performance, design constraints, and other attributes] for the system and its operational environments and external interfaces. (ISO/IEC/IEEE 29148, 2018)
",""
"id-c5d71c45518f48d5a1f7dd8621506d58","BusinessObject","System requirements definition records/artifacts","
Permanent, readable form of data, information, or knowledge related to system requirements definition.
",""
"id-1ef16a07f1194aec9d22b687b28f510c","BusinessObject","System requirements definition report","
An account prepared for interested parties in order to communicate the status, results, and outcomes of the system requirements definition activities.
",""
"id-0bcc0b11db5841039c3edf6a558c2015","BusinessObject","System requirements definition strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform system requirements definition.
",""
"id-7f6dadbc51ae48448b08e403a2a0972f","BusinessObject","System viewpoints, views, and models","
Definitions of viewpoints to document the procedures for creating, interpreting, analyzing, and evaluating architectural data. One or more views of the system. Each architectural view is a representation of the complete system from the perspective of one or more system concerns, for its stakeholders. (Adapted from ISO/IEC/IEEE 15289, 2019)
",""
"id-f5b52cd6acd84dde99221399355bbfea","BusinessObject","System viewpoints, views, and models","",""
"id-0c1e2dd4cf4a4849a5f8d41a809787ca","BusinessObject","Systems engineering management plan (SEMP)","Presents how the project processes and activities are executed to assure the project’s successful completion, and the quality of the deliverable product or service. (Adapted from ISO/IEC/IEEE 15289, 2019)",""
"id-61bf59e37c7d40d3aa5e2949a6c84d42","BusinessObject","Tailoring records/artifacts","
Permanent, readable form of data, information, or knowledge related to tailoring.",""
"id-33b00e5b517349ba88c84eb043b52470","BusinessObject","Traceability mapping","
Records the relationship between two or more artifacts of the development process (e.g., requirements, functions, system elements, verifications, and validations, tasks). (Adapted from ISO/IEC/IEEE 24765, 2017)
",""
"id-dd0db487b7c2432e88c1f425ec0c1a0c","BusinessObject","Trained personnel","
Trained individuals or organizations that perform the operation, maintenance, or other functions of or for a system.",""
"id-2d90f35902564acbb4e98cb64f88ba2d","BusinessObject","Training materials","
Materials for the provision of formal and informal learning activities. (Adapted from ISO/IEC/IEEE 24765, 2017)
",""
"id-cdfc0593242c4cf69f0fb88e251bd2d8","BusinessObject","Transition records/artifacts","
Permanent, readable form of data, information, or knowledge related to transition.",""
"id-5487173f102148a08c5601ee89438dc3","BusinessObject","Transition report","
An account prepared for interested parties in order to communicate the status, results, and outcomes of the transition activities.
",""
"id-c618079d714148bca1305a27371999c6","BusinessObject","Transition strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform transition.",""
"id-834569fa8ed04ca48b8b9f1412b74baa","BusinessObject","Validated stakeholder needs and requirements","
Set of stakeholder needs and requirements that have been validated.",""
"id-c876c44edfea47e3990a6d6cd566c590","BusinessObject","Validated system","
System (product or service) that has been validated.",""
"id-887577bdffb34d73aa761d71ac6fbddb","BusinessObject","Validated system architecture and design","
System architecture and design that has been validated.",""
"id-0f2172891912408293160199ff660828","BusinessObject","Validation criteria","
The validation criteria (the measures to be assessed), who will perform validation activities, and the validation environments of the system-of-interest.
",""
"id-587607fc76de4d7391d057a206e43754","BusinessObject","Validation procedure","
Presents an ordered series of steps to perform validation.",""
"id-5d5dac208533406aa72289935eb2b710","BusinessObject","Validation records/artifacts","
Permanent, readable form of data, information, or knowledge related to validation.",""
"id-4d32ca490c8a415cac776205fca1b0c9","BusinessObject","Validation report","
An account prepared for interested parties in order to communicate the status, results, and outcomes of the validation activities.",""
"id-ba8bde1aec4b4412bcf9531350ee89ce","BusinessObject","Validation strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform validation.",""
"id-c0c36ba53d3a47b88905c8534c0807be","BusinessObject","Variance/deviation/waiver request","
Request, temporary or permanent, to accept a configuration item or other designated item which, during production or after having been submitted for inspection, is found to depart from specified requirements, but is nevertheless considered suitable for use as is or after rework by an approved method. (Adapted from ISO/IEC/IEEE 24765, 2017)
",""
"id-5a11665598044f2db072db80bb15dcad","BusinessObject","Verification criteria","
The verification criteria (the measures to be assessed), who will perform verification activities, and the verification environments of the system-of-interest.
",""
"id-bc4c68e999634bc08dfcd69695df1e08","BusinessObject","Verification procedure","
Presents an ordered series of steps to perform verification.
",""
"id-bc60b60e1b28448c9a14588045e3ad95","BusinessObject","Verification records/artifacts","
Permanent, readable form of data, information, or knowledge related to verification.
",""
"id-b937b41eb95748ad90262ce2d8442e44","BusinessObject","Verification report","
An account prepared for interested parties in order to communicate the status, results, and outcomes of the verification activities.
",""
"id-42c073eb55d44be28726d797fa954b4c","BusinessObject","Verification strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform verification.",""
"id-7bbb296d0f3843fa9787a9573506c668","BusinessObject","Verified system","
System (product or service) that has been verified.
",""
"id-af0f523978154d90844af2b3e7259ebc","BusinessObject","Verified system architecture and design","
System architecture and design that has been verified.",""
"id-ab116540d777435a8fc22a6eb558c1b6","BusinessObject","Verified system requirements","Set of system requirements that have been verified.
",""
"id-3620bdd7a4da4af69d0593016e25fb36","BusinessProcess","Acquistion Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Acquisition process is to obtain a product or service in accordance with the acquirer’s requirements.

Activities
Prepare for the acquisition.
Advertise the acquisition and select the supplier.
Establish and maintain an agreement.
Monitor the agreement.
Accept the product or service.",""
"id-3446520345e34771bbca29a5327a55c4","BusinessProcess","Business or Mission Analysis Process","Purpose As stated in ISO/IEC/IEEE 15288:

The purpose of the Business or Mission Analysis process is to define the overall strategic problem or opportunity, characterize the solution space, and determine potential solution class(es) that can address a problem or take advantage of an opportunity.

Actvities:

Prepare for business or mission analysis.
Define the problem or opportunity space.
Characterize the solution space.
Evaluate alternative solution classes that span the potential solution space.
Manage the Business or Mission Analysis.",""
"id-41227716c5214cc29a6faad59154e2ac","BusinessProcess","Configuration Management Process","",""
"id-7688d8ba5911479c8d4ffe8ed64ada4f","BusinessProcess","Decision Management Process","Purpose As defined by ISO/IEC/IEEE 15288

The purpose of the Decision Management process is to provide a structured, analytical framework for objectively identifying, characterizing and evaluating a set of alternatives for a decision at any point in the life cycle and select the most beneficial course of action.

Activities

Prepare for decisions
Analyze the decison information
Make and manage decisions

Taken from
INCOSE Systems Engineering Handbook, John Wiley & Sons, Incorporated, 2023. ProQuest Ebook Central

",""
"id-e2b5514849f24664a80d9a5f94d6f23c","BusinessProcess","Design Definition Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Design Definition process is to provide sufficient detailed data and information about the system and its elements to realize the solution in accordance with the system requirements and architecture.

Activities

Prepare for design definition 
• Create the system design 
• Evaluate the system design 
• Manage results of design definition",""
"id-a738c755e8f246d18ffbb06df2763cd3","BusinessProcess","Disposal Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Disposal process is to end the existence of a system element or system for a specified intended use, appropriately handle replaced or retired elements, appropriately handle any waste products, and to properly attend to identified critical disposal needs.

Acvtities
Prepare for disposal
Perfrom disposal
Finalize the disposal",""
"id-d9d5ae63f9ef49adb3b6fcc8b1864c74","BusinessProcess","Human Resource Management Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Human Resource Management process is to provide the organization with necessary human resources and to maintain their competencies, consistent with strategic needs.

Actvities:

Identify skills
Develop skills
Acquie and provide skills
",""
"id-a2a787a1e17a4f9ba6f4fae4aeb19974","BusinessProcess","Implementation Process","Purpose As stated in ISO/IEC/IEEE 15288, 

The purpose of the Implementation process is to realize a specified system element.

Actvities

Prepare for implementation 
• Perform implementation 
• Manage results of implementation",""
"id-2d509d9118f34be8b92347524221b7e9","BusinessProcess","Information Management Process","Purpose As stated in ISO/IEC/IEEE 15288, 

The purpose of the Information Management process is to generate, obtain, confirm, transform, retain, retrieve, disseminate, and dispose of information to designated stakeholders.


Activities 
• Prepare for information management 
• Perform information management

INCOSE Systems Engineering Handbook, John Wiley & Sons, Incorporated, 2023. ProQuest Ebook Central",""
"id-eb3ffd66a08041ffadc727b61f817186","BusinessProcess","Infrastructure Management Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Infrastructure Management process is to provide the infrastructure and services to projects to support organization and project objectives throughout the life cycle.",""
"id-4b9d4b4eb36142feb75136212d446cff","BusinessProcess","Integration Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Design Definition process is to provide sufficient detailed data and information about the system and its elements to realize the solution in accordance with the system requirements and architecture.",""
"id-25e30adad8ae44f4a8c1041bc8011d6b","BusinessProcess","Knowledge Management Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Knowledge Management process is to create the capability and assets that enable the organization to exploit opportunities to re-apply existing knowledge.

Actvities:

Plan knowledge management
Share knowledge and skills throuout organziation
Share knowledge assets throuout the organization
Managne knowledge, skills and knowledge assets
",""
"id-da146668b5034f2985b357797db4c7cb","BusinessProcess","Life Cycle Model Management Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Life Cycle Model Management process is to define, maintain, and help ensure availability of policies, life cycle processes, life cycle models, and procedures for use by the organization with respect to the scope of ISO/IEC/IEEE 15288.

Activities:

Establish the life cycle processes
Assess the life cycle processes
Imrove the process",""
"id-7cc650c704cc47ce8d0f9b56b34e3e3d","BusinessProcess","Maintenance Process","As stated in ISO/IEC/IEEE 15288,

[6.4.13] The purpose of the Maintenance process is to sustain the capability of the system to provide a service.

Activities

Prepare for maintenance and logistics
Perform maintenance
Perform logistics support
Manage results of maintenance and logistics

",""
"id-44a6ddd394034b8aacebf095822675f7","BusinessProcess","Measurement process","Purpose As stated in ISO/IEC/IEEE 15288 (and ISO/IEC/IEEE 15939), 

The purpose of the Measurement process is to collect, analyze, and report objective data and information to support effective management and address information needs about the products, services, and processes.

Activities 
• Prepare for measurement 
• Perform measurement


INCOSE Systems Engineering Handbook, John Wiley & Sons, Incorporated, 2023. ProQuest Ebook Central",""
"id-3d6e3dd6de2a4e7188b5a5924e2f9722","BusinessProcess","Operation Process","As stated in ISO/IEC/IEEE 15288,

The purpose of the Operation process is to use the system to deliver its services.

Activities:
Prepare for operation
Perform operation
Manage results of operation
support stakeholders",""
"id-80f55a560b2f4dbdbcb63550889ec200","BusinessProcess","Portfolio Management Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Portfolio Management process is to initiate and sustain necessary, sufficient, and suitable projects to meet the strategic objectives of the organization.

Activities

Define and authorize projects
Evaluate the portfolio of projects
Terminate projects",""
"id-853d7342dea14a7e8ea81f5c1c32b8b0","BusinessProcess","Project Assessment and Control Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Project Assessment and Control process is to assess if the plans are aligned and feasible; determine the status of the project, technical and process performance; and direct execution to help ensure that the performance is according to plans and schedules, within projected budgets, to satisfy technical objectives.

Actvities:

Plan for project assessment and control
Assess the project
Control the project
 ",""
"id-8f4c234eeccd466cbff6c596b27d6f09","BusinessProcess","Project Planning Process","Purpose As stated in ISO/IEC/IEEE 15288, 

The purpose of the Project Planning process is to produce and coordinate effective and workable plans.


Activities 
• Define the project 
• Plan project and technical management 
• Activate the project",""
"id-3418318de4634ed3b82ed08d1e3cdfec","BusinessProcess","Quality Assurance process","Purpose As stated in ISO/IEC/IEEE 15288, 

The purpose of the Quality Assurance process is to help ensure the effective application of the organization’s Quality Management process to the project.


Typical Inputs 
• Quality management strategy/approach 
• Quality management criteria and methods 
• Quality management report 
• Quality management corrective action Activities 
• Prepare for quality assurance 
• Perform product or service evaluations 
• Perform process evaluations 
• Manage quality assurance records and reports 
• Treat incidents and problems


INCOSE Systems Engineering Handbook, John Wiley & Sons, Incorporated, 2023. ProQuest Ebook Central",""
"id-0479b2608c3c44a698f2a58780f67314","BusinessProcess","Quality Management Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Quality Management process is to assure that products, services, and implementations of the Quality Management process meet organizational and project quality objectives and achieve customer satisfaction.

Activities

Plan quality management
Assess quality management 
Perform quality management corrective and preventive action",""
"id-9e3f81600aeb4c658929144c1544764c","BusinessProcess","Risk Management Process","Purpose As stated in ISO/IEC/IEEE 15288, [6.3.4.1] The purpose of the Risk Management process is to identify, analyze, treat and monitor the risks continually.

Activties

Plan risk management
Maintain the risk profile
Analyze risks
Treat risks that exceed their riks threshold
Monitore risks


INCOSE Systems Engineering Handbook, John Wiley & Sons, Incorporated, 2023. ProQuest Ebook Central

",""
"id-32ab6a7d246e4c2db95199dfb6ada8b1","BusinessProcess","Stakeholder Needs and Requirements Definition","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Stakeholder Needs and Requirements Definition process is to define the stakeholder needs and requirements for a system that can provide the capabilities needed by users and other stakeholders in a defined environment.",""
"id-bb662eeda087422ab8e9908c4f4450d2","BusinessProcess","Supply Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Supply process is to provide an acquirer with a product or service that meets agreed requirements.

Activities:

Prepare for the supply.
Respond to a request for supply of products or services.
Establish and maintain an agreement.
Execute the agreement.
Deliver and support the product or service.",""
"id-76f2c56aeba347f5b97789b558ac9b06","BusinessProcess","System Analysis Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Transition process is to establish a capability for a system to provide services specified by stakeholder requirements in the operational environment.

Actvities
Prepare for system analysis 
• Perform system analysis 
• Manage system analysis",""
"id-5847f36a59aa403d99201ab669553d4a","BusinessProcess","System Architecture Definition Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the System Architecture Definition process is to generate system architecture alternatives, select one or more alternative(s) that address stakeholder concerns and system requirements, and express this in consistent views and models.

Activities

• Prepare for system architecture definition 
• Conceptualize the system architecture 
• Evaluate the system architecture 
• Elaborate the system architecture 
• Manage results of system architecture definition",""
"id-fe00585692e8429b92baf2f3bd708941","BusinessProcess","System Requierments Definition Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the System Requirements Definition process is to transform the stakeholder, user-oriented view of desired capabilities into a technical view of a solution that meets the operational needs of the user.
Activities:

Prepare for system requirements definition
Define system requirements.
Define system requirements.
Manage system requirements",""
"id-42b4d868c90b4d6591e6105c63d0d568","BusinessProcess","Transition Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Transition process is to establish a capability for a system to provide services specified by stakeholder requirements in the operational environment.",""
"id-62df66fd5c054577b97050c66dfeadaa","BusinessProcess","Validation Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Design Definition process is to provide sufficient detailed data and information about the system and its elements to realize the solution in accordance with the system requirements and architecture.

Actvities:

Prepare for validation
Perform validation
Manage results of validation",""
"id-3ae10bd6637245acb01256bd7112875f","BusinessProcess","Verification Process","Purpose As stated in ISO/IEC/IEEE 15288,

The purpose of the Design Definition process is to provide sufficient detailed data and information about the system and its elements to realize the solution in accordance with the system requirements and architecture.",""
"id-f80adb637b644ca0afe1bc3566492043","Grouping","Agreement Processes","",""
"id-7312fee6da5f4ab9b19655f7c887aa92","Grouping","Concept Definition","",""
"id-6241940b5a9f4121b2c56bd3d6b5f983","Grouping","Organization Project Enabling Processes","",""
"id-ec6f7538d85e486fbac3523d90da2477","Grouping","System Defintion","",""
"id-a5a00a4ce2bc44cc89a233c4a9cbda87","Grouping","System Deployment and Use","",""
"id-79416880f3b14dc38b8492fbc3633f6f","Grouping","System Realization","",""
"id-d3b6bde373d94c508b5557a6167592d3","Grouping","Techincal Processes","",""
"id-8a0797c0a36c41cd86aac1daa98fa515","Grouping","Technical Management Processes","",""
